file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f41,f12,f22,f32,f42,f13,f23,f33,f43,f14,f24,f34,f44,f15,f25,f35,f45,f16,f26,f36,f46,f17,f27,f37,f47,f18,f28,f38,f48,f19,f29,f39,f49,f110,f210,f310,f410,f111,f211,f311,f411
026_F_JPN_0001,190.5,0.118,AO,4,Green,1,5443,579,1396,3044,3942,609,1303,3057,3835,646,1206,3082,3801,650,1088,3113,3795,624,1017,3205,3796,595,953,3215,3750,589,943,3231,3763,597,946,3254,3788,604,942,3294,3780,604,905,3337,3837,554,884,3361,3870
026_F_JPN_0002,190.5,0.042,IH,11,Teal,2,5815,393,2349,2821,3889,403,2382,2842,3905,394,2409,2859,3923,386,2445,2897,3969,419,2469,2930,3994,454,2474,2928,4002,462,2453,2920,4026,455,2414,2932,4046,446,2372,2953,4050,440,2333,2958,4066,405,2291,2958,4099
026_F_JPN_0003,158.5,0.12,AE,2,Blue,3,5691,413,2012,3030,3975,508,2140,2972,4026,537,2198,2972,3944,557,2131,2945,3905,582,2039,2913,3981,646,2027,2959,4039,684,2022,2911,3999,698,2000,2858,4074,686,1959,2815,4115,659,1877,2998,4033,574,1804,2990,4130
026_F_JPN_0004,173.9,0.132,AH,3,Black,4,5567,815,1162,2954,3887,853,1330,2999,3917,854,1355,3073,3905,857,1390,3098,3901,837,1384,3140,3988,822,1408,3115,3918,802,1406,3188,3997,779,1486,3207,4091,719,1503,3214,4187,663,1526,3200,4216,595,1623,3261,4349
026_F_JPN_0005,160,0.044,ER,9,Lime,5,5443,606,1343,2778,3849,604,1366,2794,3849,603,1415,2790,3848,597,1456,2784,3841,590,1483,2802,3809,578,1504,2839,3763,552,1522,2861,3761,517,1539,2840,3789,491,1558,2809,3741,469,1586,2778,3629,433,1623,2735,3391
026_F_JPN_0006,110.2,0.08,UW,17,Cyan,6,5196,296,1474,2490,3961,310,1412,2572,3848,346,1408,2601,3832,347,1464,2628,3821,363,1472,2649,3792,382,1533,2618,3682,385,1580,2605,3507,367,1653,2540,3343,311,1714,2441,3248,229,1736,2422,3218,203,1820,2598,3015
026_F_JPN_0007,174.8,0.042,IH,11,Teal,7,5196,405,1983,2642,3820,397,2020,2660,3845,398,2062,2701,3846,394,2093,2742,3823,381,2117,2774,3813,373,2138,2801,3809,363,2159,2844,3804,350,2190,2877,3852,332,2223,2911,3957,305,2289,3051,4025,278,2251,3244,4084
026_F_JPN_0008,160.3,0.044,AO,4,Green,8,6435,421,935,1842,3250,407,962,1900,3301,385,972,1964,3322,370,972,2009,3335,357,976,2069,3378,347,972,2039,3426,336,961,1887,3452,321,947,1985,3484,309,933,2108,3540,302,921,2340,3748,299,927,2626,4015
026_F_JPN_0009,188.6,0.038,IH,11,Teal,9,5691,541,1798,2744,3949,549,1836,2780,3973,554,1885,2825,3998,554,1914,2866,4006,553,1926,2923,3995,549,1931,2945,3994,543,1932,2945,4012,538,1932,2950,4062,528,1931,2971,4114,505,1928,2989,4137,447,1916,3004,4177
026_F_JPN_0010,186.6,0.078,AE,2,Blue,10,5196,728,1190,2782,3473,731,1134,2854,3468,724,1073,2968,3603,706,1055,2988,3602,684,1034,3026,3554,670,1008,3018,3528,645,974,2988,3517,621,959,2960,3557,595,942,2930,3599,572,946,2921,3577,547,1019,2854,3583
026_F_JPN_0011,197.1,0.104,EY,10,Purple,11,5567,334,2543,2900,3959,365,2444,2857,3961,401,2356,2780,3974,458,2360,2797,3954,519,2377,2820,3992,542,2373,2823,3843,557,2366,2800,3809,551,2371,2805,3915,545,2334,2810,3902,540,2264,2734,3843,519,2069,2730,3821
